Он часто играет в компьютерные игры
Она чувствует себя такой счастливой
Он делает это каждый день
Она ходит в школу
Он ходит на работу
Он часто ходит в кино
Она часто ходит в парк
Она делает это очень хорошо
У него есть дом
У нее есть машина
У него есть собака
У нее есть кошка
У него есть деньги
У него есть предложение
Она смотрит ТВ
Он припадает Английский
Он скучает по тебе
Он всегда заканчивает свою работу вовремя
Она обычно отдыхает дома
Он пытается сделать это
Она пытается выучить Английский
Он пытается найти работу
Он иногда играет в компьютерные игры
У нее есть интересные идеи
